+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                  ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                              ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; main_inst|main_0_1                                                                                                                                                                     ; 98    ; 3              ; 0            ; 3              ; 64     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main_inst|altfp_adder_14_main_10_18|altfp_adder_altfp_add_sub_dmj_component|trailing_zeros_limit_comparator|auto_generated                                                             ; 12    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main_inst|altfp_adder_14_main_10_18|altfp_adder_altfp_add_sub_dmj_component|man_res_rounding_add_sub_upper1|auto_generated                                                             ; 27    ; 0              ; 13           ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main_inst|altfp_adder_14_main_10_18|altfp_adder_altfp_add_sub_dmj_component|man_res_rounding_add_sub_lower|auto_generated                                                              ; 26    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main_inst|altfp_adder_14_main_10_18|altfp_adder_altfp_add_sub_dmj_component|man_add_sub_upper1|auto_generated                                                                          ; 33    ; 0              ; 1            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main_inst|altfp_adder_14_main_10_18|altfp_adder_altfp_add_sub_dmj_component|man_add_sub_upper0|auto_generated                                                                          ; 33    ; 0              ; 1            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main_inst|altfp_adder_14_main_10_18|altfp_adder_altfp_add_sub_dmj_component|man_add_sub_lower|auto_generated                                                                           ; 33    ; 0              ; 1            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main_inst|altfp_adder_14_main_10_18|altfp_adder_altfp_add_sub_dmj_component|man_2comp_res_upper1|auto_generated                                                                        ; 33    ; 0              ; 1            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main_inst|altfp_adder_14_main_10_18|altfp_adder_altfp_add_sub_dmj_component|man_2comp_res_upper0|auto_generated                                                                        ; 33    ; 0              ; 1            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main_inst|altfp_adder_14_main_10_18|altfp_adder_altfp_add_sub_dmj_component|man_2comp_res_lower|auto_generated                                                                         ; 33    ; 0              ; 1            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main_inst|altfp_adder_14_main_10_18|altfp_adder_altfp_add_sub_dmj_component|add_sub6|auto_generated                                                                                    ; 18    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main_inst|altfp_adder_14_main_10_18|altfp_adder_altfp_add_sub_dmj_component|add_sub5|auto_generated                                                                                    ; 21    ; 0              ; 1            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main_inst|altfp_adder_14_main_10_18|altfp_adder_altfp_add_sub_dmj_component|add_sub4|auto_generated                                                                                    ; 18    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main_inst|altfp_adder_14_main_10_18|altfp_adder_altfp_add_sub_dmj_component|add_sub3|auto_generated                                                                                    ; 12    ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main_inst|altfp_adder_14_main_10_18|altfp_adder_altfp_add_sub_dmj_component|add_sub2|auto_generated                                                                                    ; 21    ; 0              ; 1            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; main_inst|altfp_adder_14_main_10_18|altfp_adder_altfp_add_sub_dmj_component|add_sub1|auto_generated                                                                                    ; 21    ; 0              ; 1            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
